population,lat,long,name
1643734,40.7831,-73.9712,Manhattan
864816,37.7749,-122.4194,San Francisco
681170,38.9072,-77.0369,Washington DC
2303000,29.7604,-95.3698,Houston
682545,39.7392,-104.9903,Denver
704352,47.6062,-122.3321,Seattle
2705000,41.8781,-87.6298,Chicago
673184,42.3601,-71.0589,Boston
391495,29.9511,-90.0715,New Orleans
632912,36.1699,-115.1398,Las Vegas
1615000,33.4484,-112.074,Phoenix
880619,30.3322,-81.6557,Jacksonville
672795,42.3314,-83.0458,Detroit
