params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'n_estimators': 10},0.114045232534,0.0093882381916,-0.386096022434,0.572783936703,10,13,-0.596364162866,0.582120595754,-0.886657960251,0.590588504082,-0.210044103723,0.55896431132,-0.29607684627,0.568468843963,-0.52788514368,0.589982867094,-0.25744245769,0.554752925888,-0.256691991632,0.577138420597,-0.0553045357715,0.560255024926,0.0161560539555,0.00423498948302,0.249170372633,0.0132789006077
{'n_estimators': 50},0.512299180031,0.033062428236,-0.336184000311,0.598427111444,50,12,-0.495753235521,0.605465276526,-0.815296133637,0.614885228032,-0.232278723367,0.583015532914,-0.240611631017,0.592751735295,-0.494388087957,0.615981411708,-0.171635497423,0.581510550177,-0.195772118114,0.607858067846,-0.0415614030545,0.585949089054,0.0178947924667,0.0019915058295,0.232801753862,0.0133655316995
{'n_estimators': 90},0.916977375746,0.0593504309654,-0.329143930019,0.604103103007,90,11,-0.478886950616,0.610681199789,-0.80900379907,0.621437955214,-0.190762090836,0.588996740732,-0.244108896675,0.601000644336,-0.502828644797,0.621459734397,-0.180095040347,0.587875448449,-0.198604055529,0.612294382105,-0.0266970284013,0.589078719038,0.00780535338109,0.00387938040561,0.234513615721,0.0134118160676
{'n_estimators': 130},1.34415200353,0.080897718668,-0.321962287972,0.604837179518,130,4,-0.482386523616,0.612193958016,-0.802796038546,0.623219158816,-0.1761966452,0.590199294889,-0.238285144702,0.601727317812,-0.486426927519,0.621439758784,-0.180737983153,0.588718309634,-0.187090689989,0.612206573836,-0.0195921423347,0.58899306436,0.0319577506928,0.00269792011107,0.235000440064,0.0134942850005
{'n_estimators': 170},1.77303686738,0.108124047518,-0.325201669381,0.605846023163,170,9,-0.484821517735,0.613951666122,-0.812731618494,0.624922479498,-0.178059273853,0.591540388679,-0.240139012602,0.602486774486,-0.486118848509,0.6229953759,-0.184201723383,0.590324281981,-0.190115295987,0.611705778751,-0.0232408284146,0.588841439888,0.064025821446,0.00701197623003,0.236449367762,0.0137116086778
{'n_estimators': 210},2.21098434925,0.135574132204,-0.326029548635,0.60600115027,210,10,-0.48562383635,0.614648874817,-0.828180824993,0.626235160958,-0.177316136665,0.592414430216,-0.251029188141,0.603721715469,-0.468563012616,0.623187126484,-0.183829201325,0.590432971103,-0.189297172152,0.610563791051,-0.0221941781055,0.586805132064,0.164278605763,0.0117484724324,0.238990450192,0.0141466599418
{'n_estimators': 250},2.54257526994,0.159599781036,-0.32363894544,0.606969224719,250,6,-0.482012065221,0.615749471969,-0.822634545671,0.627334611503,-0.175525295367,0.593646454323,-0.249900701207,0.605165153109,-0.464486315614,0.624328578203,-0.176083894911,0.590488088968,-0.191076909595,0.611448741452,-0.0252370161067,0.587592698223,0.0205863087203,0.00465925969585,0.237094277255,0.0143225497218
{'n_estimators': 290},3.00548535585,0.185984879732,-0.324934811618,0.607203124871,290,8,-0.473402736662,0.61564751953,-0.822092849366,0.627648851274,-0.183250970468,0.593706665074,-0.248411941349,0.604765511739,-0.467447318156,0.623940175249,-0.179558803872,0.590844119185,-0.194110337997,0.612480209799,-0.0290700890886,0.58859194712,0.114380357306,0.0155651974754,0.234856923926,0.0141394899091
{'n_estimators': 330},3.43143466115,0.210293710232,-0.32441456767,0.606909894734,330,7,-0.467865427488,0.615471278594,-0.819339275812,0.627356842682,-0.183635025363,0.59323492453,-0.244965844458,0.604492570584,-0.462576795396,0.623488628038,-0.180615631096,0.590857566263,-0.203073859949,0.61254595865,-0.0311717642457,0.587831388527,0.150986212273,0.00886833826696,0.232426893767,0.014197312699
{'n_estimators': 370},3.73668304086,0.238511532545,-0.322116077438,0.60696987389,370,5,-0.469653932113,0.615701452797,-0.812076567553,0.627323093893,-0.176723499986,0.593312352505,-0.245693551465,0.604500820476,-0.453147535388,0.623296818112,-0.184028961198,0.590804654609,-0.203705782047,0.613004475454,-0.0298453848138,0.587815323273,0.0572053364795,0.012256509636,0.230358956757,0.0142052578175
{'n_estimators': 410},4.14304992557,0.258931368589,-0.321454449586,0.606874011343,410,3,-0.4678473438,0.615523226943,-0.822224075924,0.627708901473,-0.174318145191,0.593021100897,-0.242741486034,0.604302797518,-0.451973101488,0.622991049611,-0.180683539039,0.590542011056,-0.19911713813,0.613022033096,-0.0306651339433,0.587880970146,0.0341529488145,0.0179221167365,0.233578224613,0.0142847943058
{'n_estimators': 450},4.79647639394,0.284910351038,-0.319884132688,0.607136035956,450,1,-0.466589212793,0.61607314648,-0.813135100071,0.627866152112,-0.175848765754,0.593314792996,-0.245643723524,0.604624377125,-0.450039700699,0.623112238866,-0.182694452754,0.590808423937,-0.195450160934,0.613056821073,-0.0275882959321,0.588232335059,0.392268754686,0.00828090382892,0.231243649972,0.0142354330154
{'n_estimators': 490},5.00682216883,0.310283213854,-0.320792412569,0.607169084189,490,2,-0.463224459738,0.615997748381,-0.813328352167,0.627726359881,-0.178466840822,0.593199667656,-0.250433895673,0.60474877455,-0.454726080028,0.623379648267,-0.185099588788,0.591138188746,-0.191022356003,0.612868682565,-0.0279245376752,0.588293603466,0.0360031257178,0.0145500065048,0.231048922121,0.014186660032
