params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_epsilon,param_fit_intercept,param_l1_ratio,param_learning_rate,param_loss,param_penalty,param_random_state,param_shuffle,param_verbose,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'loss': 'huber', 'shuffle': False, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0342164933681,0.0023053586483,-1.78937875957,-1.78733298029,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,56,False,12,41,-1.28042882164,-1.13083386783,-3.54666851789,-3.44558014521,-0.557627930422,-0.635480297068,-1.38943133163,-1.35367484496,-3.83236875071,-4.14048506577,-0.620095213663,-0.565046625551,-0.485050001871,-0.562542135212,-2.60335950872,-2.46502086072,0.00641906090085,0.000392927108695,1.27127572083,1.30796984267
"{'loss': 'huber', 'shuffle': False, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0322510898113,0.00415116548538,-1.78937875957,-1.78733298029,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,56,False,4,41,-1.28042882164,-1.13083386783,-3.54666851789,-3.44558014521,-0.557627930422,-0.635480297068,-1.38943133163,-1.35367484496,-3.83236875071,-4.14048506577,-0.620095213663,-0.565046625551,-0.485050001871,-0.562542135212,-2.60335950872,-2.46502086072,0.00735986288215,0.00320871112411,1.27127572083,1.30796984267
"{'loss': 'huber', 'shuffle': True, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0426596701145,0.00248059630394,-1.27165830581,-1.17378015611,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,76,True,12,39,-4.2743641162,-3.8274003999,-0.741241818784,-0.70733003479,-0.000165516680638,-0.000273744982846,-1.605920163,-1.5584315997,-0.388610517669,-0.373929870141,-1.43888228216,-1.28165158834,-0.000676694898264,-0.00107988756736,-1.72340533705,-1.64014412348,0.0138183461794,0.000749253277379,1.30638889814,1.17412031643
"{'loss': 'huber', 'shuffle': True, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0380517244339,0.00329264998436,-1.27165830581,-1.17378015611,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,76,True,4,39,-4.2743641162,-3.8274003999,-0.741241818784,-0.70733003479,-0.000165516680638,-0.000273744982846,-1.605920163,-1.5584315997,-0.388610517669,-0.373929870141,-1.43888228216,-1.28165158834,-0.000676694898264,-0.00107988756736,-1.72340533705,-1.64014412348,0.0171408085234,0.00196387748724,1.30638889814,1.17412031643
"{'loss': 'huber', 'shuffle': False, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0341431200504,0.00333362817764,-1.78937875957,-1.78733298029,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,76,False,12,41,-1.28042882164,-1.13083386783,-3.54666851789,-3.44558014521,-0.557627930422,-0.635480297068,-1.38943133163,-1.35367484496,-3.83236875071,-4.14048506577,-0.620095213663,-0.565046625551,-0.485050001871,-0.562542135212,-2.60335950872,-2.46502086072,0.00601012556184,0.00139226952295,1.27127572083,1.30796984267
"{'loss': 'huber', 'shuffle': False, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'random_state': 76, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0351355373859,0.00217971205711,-1.78937875957,-1.78733298029,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,huber,elasticnet,76,False,4,41,-1.28042882164,-1.13083386783,-3.54666851789,-3.44558014521,-0.557627930422,-0.635480297068,-1.38943133163,-1.35367484496,-3.83236875071,-4.14048506577,-0.620095213663,-0.565046625551,-0.485050001871,-0.562542135212,-2.60335950872,-2.46502086072,0.00744007541907,0.000333962328729,1.27127572083,1.30796984267
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0300400257111,0.003412514925,-5.69450154207,-5.64506287896,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,epsilon_insensitive,none,56,True,12,53,-6.20443678458,-5.57135140251,-5.77239900479,-5.62609155311,-5.05968236392,-5.73847244188,-5.9271134245,-5.60770214371,-5.24595547801,-5.71110441778,-6.38185183217,-5.55469862732,-5.00304635323,-5.74881237811,-5.96152709536,-5.60227006723,0.011854937009,0.00191501354876,0.493237082979,0.0716212521556
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0284136235714,0.0026148557663,-5.69450154207,-5.64506287896,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,epsilon_insensitive,none,56,True,4,53,-6.20443678458,-5.57135140251,-5.77239900479,-5.62609155311,-5.05968236392,-5.73847244188,-5.9271134245,-5.60770214371,-5.24595547801,-5.71110441778,-6.38185183217,-5.55469862732,-5.00304635323,-5.74881237811,-5.96152709536,-5.60227006723,0.00594874362563,0.000939366183603,0.493237082979,0.0716212521556
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'verbose': 12, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0303136706352,0.00382268428802,-5.69450154207,-5.64506287896,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,epsilon_insensitive,none,56,False,12,53,-6.20443678458,-5.57135140251,-5.77239900479,-5.62609155311,-5.05968236392,-5.73847244188,-5.9271134245,-5.60770214371,-5.24595547801,-5.71110441778,-6.38185183217,-5.55469862732,-5.00304635323,-5.74881237811,-5.96152709536,-5.60227006723,0.0122362174131,0.00304133364349,0.493237082979,0.0716212521556
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'verbose': 4, 'fit_intercept': True, 'l1_ratio': 0.10000000000000001, 'learning_rate': 'invscaling', 'penalty': 'none', 'random_state': 56, 'epsilon': 60.000010000000003, 'alpha': 10.00001}",0.0290989875793,0.00273916125298,-5.69450154207,-5.64506287896,10.00001,60.000010000000003,True,0.10000000000000001,invscaling,epsilon_insensitive,none,56,False,4,53,-6.20443678458,-5.57135140251,-5.77239900479,-5.62609155311,-5.05968236392,-5.73847244188,-5.9271134245,-5.60770214371,-5.24595547801,-5.71110441778,-6.38185183217,-5.55469862732,-5.00304635323,-5.74881237811,-5.96152709536,-5.60227006723,0.00514711247274,0.00080351216075,0.493237082979,0.0716212521556
