params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'n_estimators': 50},2.22957070669,0.0785050392151,0.508733333333,0.578816638465,50,2,0.506549345065,0.578278913946,0.5128,0.5782,0.506850685069,0.57997100145,0.211251175097,0.00243784740865,0.00287819790638,0.000816893415354
{'n_estimators': 100},4.14351741473,0.147132953008,0.511033333333,0.578983310132,100,1,0.507849215078,0.578628931447,0.515,0.5783,0.510251025103,0.58002099895,0.176536690954,0.0033880698119,0.00297130792377,0.000745943490329
