params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'weights': 'uniform'},0.00257828831673,0.00161910057068,-0.198919967319,0.181451487141,uniform,1,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.000383837260407,0.000177572430708,0.0547915875656,0.0128672348651
{'weights': 'distance'},0.00273653864861,0.0019722878933,-0.263996455876,0.975809510084,distance,2,-0.312916235871,0.974676650564,-0.272514626635,0.972455733841,-0.266218517565,0.98017423718,-0.0923658778748,0.975194482249,-0.255046795985,0.97349426471,-0.255900212618,0.976655134299,-0.210648946749,0.968908321591,-0.447008757672,0.984917256236,0.000881123062793,0.000991077513429,0.0924097534121,0.0045909308925
