params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_fit_intercept,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'fit_intercept': True},0.0301931798458,0.00280848145485,-1.86684053114e+31,-1.81589241933e+31,True,1,-1.25897400801e+31,-1.40940333059e+31,-6.90400510937e+29,-7.02859147701e+29,-2.09678635174e+31,-1.89163130009e+31,-1.83116100718e+31,-1.74887779288e+31,-4.91669203752e+30,-5.08973254253e+30,-1.84299892858e+31,-1.77319239572e+31,-2.69080502146e+31,-2.79893866849e+31,-4.65328967728e+31,-4.32583669787e+31,0.0139145272322,0.00194244282188,1.32243229089e+31,1.23484128493e+31
{'fit_intercept': False},0.0244317352772,0.00191724300385,-1.89484864605e+31,-1.92897856877e+31,False,2,-3.04003777112e+31,-3.46512952234e+31,-1.67721242928e+31,-1.74112456633e+31,-1.15698119528e+31,-1.05677794006e+31,-2.29508400631e+31,-2.22104382836e+31,-1.40479942111e+31,-1.4664279263e+31,-3.03542573874e+31,-2.92627492918e+31,-1.67989845388e+31,-1.74868446398e+31,-8.69350152691e+30,-8.06365373601e+30,0.00215612041518,0.000176174230094,7.66679159245e+30,8.47231108415e+30
