,explained_variance,neg_mean_absolute_error,neg_mean_squared_error,neg_median_absolute_error,r2,time
16,-3.11114923466e+29,1.29328666039e+14,1.82530387569e+28,1.24266845306e+14,-3.7185927485e+30,0.00954794883728
32,-3.8465925762e+30,3.89054637338e+14,1.74195518792e+29,3.80709625636e+14,-2.93473614169e+31,0.00093412399292
64,-3.5119708082e+30,2.49492815663e+14,7.39900187439e+28,2.29120239239e+14,-1.12619014758e+31,0.000832080841064
128,-1.28626069401e+31,4.88849228288e+14,3.3355581937e+29,5.46383793023e+14,-4.53615486511e+31,0.000865936279297
256,-4.31454951912e+28,3.64154807842e+14,1.33049157207e+29,3.62157185266e+14,-1.30336964826e+31,0.00123381614685
512,-1.08571868033e+31,1.27260038049e+15,1.67703985701e+30,1.29847658291e+15,-3.16504907242e+32,0.00173902511597
1024,-4.06792244481e+28,1.12135653258e+15,1.25782800262e+30,1.12078946376e+15,-1.32035037411e+32,0.00224304199219
