params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_leaf_size,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'leaf_size': 1},0.0033583343029,0.004758477211,-0.202586990263,0.181649475322,1,20,-0.250069265014,0.206143788438,-0.230134204165,0.190440209442,-0.160525963887,0.16251733858,-0.0888829890827,0.188237601203,-0.250744328312,0.174746108535,-0.167330543634,0.175004503634,-0.208555526844,0.169909894688,-0.264793978793,0.186196358058,0.000562801062918,0.00102377509064,0.0561143763769,0.0129276566811
{'leaf_size': 6},0.00237566232681,0.00192633271217,-0.199800299746,0.180985814687,6,5,-0.250056292424,0.204925458553,-0.218936199273,0.18938004581,-0.1582960392,0.162344973965,-0.0813238610869,0.187606907247,-0.252542836153,0.174535209383,-0.167610010956,0.173343738784,-0.204407895068,0.170212856238,-0.265581206313,0.185537327517,0.000160871500784,0.000253641539475,0.0579107717105,0.0126079043153
{'leaf_size': 11},0.00243934988976,0.00162720680237,-0.202071151913,0.181273570015,11,17,-0.249755194129,0.203305214184,-0.217871026389,0.191098369695,-0.160709249895,0.162714779455,-0.0892370908163,0.187921879503,-0.250804051872,0.173498339596,-0.167758909762,0.173025473596,-0.212003535382,0.170906053051,-0.268813530874,0.187718451041,0.00020656950643,6.33064184283e-05,0.055990783594,0.0124902760263
{'leaf_size': 16},0.0025620162487,0.0016784965992,-0.202071151913,0.181273570015,16,17,-0.249755194129,0.203305214184,-0.217871026389,0.191098369695,-0.160709249895,0.162714779455,-0.0892370908163,0.187921879503,-0.250804051872,0.173498339596,-0.167758909762,0.173025473596,-0.212003535382,0.170906053051,-0.268813530874,0.187718451041,0.000310523391402,0.000158787106496,0.055990783594,0.0124902760263
{'leaf_size': 21},0.00250059366226,0.00160712003708,-0.202071151913,0.181273570015,21,17,-0.249755194129,0.203305214184,-0.217871026389,0.191098369695,-0.160709249895,0.162714779455,-0.0892370908163,0.187921879503,-0.250804051872,0.173498339596,-0.167758909762,0.173025473596,-0.212003535382,0.170906053051,-0.268813530874,0.187718451041,0.000207880690317,8.1307530294e-05,0.055990783594,0.0124902760263
{'leaf_size': 26},0.0029676258564,0.00196561217308,-0.198919967319,0.181451487141,26,1,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.00075284428889,0.000612300722752,0.0547915875656,0.0128672348651
{'leaf_size': 31},0.00289878249168,0.00168520212173,-0.198919967319,0.181451487141,31,1,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.000662895140336,0.000187491571353,0.0547915875656,0.0128672348651
{'leaf_size': 36},0.00264325737953,0.00173699855804,-0.198919967319,0.181451487141,36,1,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.000832143918299,0.000612696099483,0.0547915875656,0.0128672348651
{'leaf_size': 41},0.00227728486061,0.00160959362984,-0.198919967319,0.181451487141,41,1,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.00014628334775,0.000335261549898,0.0547915875656,0.0128672348651
{'leaf_size': 46},0.00234401226044,0.00179091095924,-0.201397171962,0.181578347307,46,8,-0.251329275244,0.20596118465,-0.218785247882,0.19009174267,-0.160709249895,0.161954532045,-0.0952096422294,0.188656274392,-0.249149306202,0.17461351509,-0.167452146728,0.173885006716,-0.204100600202,0.170433478047,-0.264772300094,0.187031044848,0.000183345049965,0.000370096810489,0.0538423351572,0.0130567426707
{'leaf_size': 51},0.00279757380486,0.00164330005646,-0.201397171962,0.181578347307,51,8,-0.251329275244,0.20596118465,-0.218785247882,0.19009174267,-0.160709249895,0.161954532045,-0.0952096422294,0.188656274392,-0.249149306202,0.17461351509,-0.167452146728,0.173885006716,-0.204100600202,0.170433478047,-0.264772300094,0.187031044848,0.00134701963702,0.000126369156716,0.0538423351572,0.0130567426707
{'leaf_size': 56},0.00259006023407,0.0016276538372,-0.201397171962,0.181578347307,56,8,-0.251329275244,0.20596118465,-0.218785247882,0.19009174267,-0.160709249895,0.161954532045,-0.0952096422294,0.188656274392,-0.249149306202,0.17461351509,-0.167452146728,0.173885006716,-0.204100600202,0.170433478047,-0.264772300094,0.187031044848,0.000819475125797,0.00018343131392,0.0538423351572,0.0130567426707
{'leaf_size': 61},0.00222167372704,0.00153318047523,-0.201397171962,0.181578347307,61,8,-0.251329275244,0.20596118465,-0.218785247882,0.19009174267,-0.160709249895,0.161954532045,-0.0952096422294,0.188656274392,-0.249149306202,0.17461351509,-0.167452146728,0.173885006716,-0.204100600202,0.170433478047,-0.264772300094,0.187031044848,0.000194811795361,4.59020686667e-05,0.0538423351572,0.0130567426707
{'leaf_size': 66},0.00238665938377,0.00165322422981,-0.201397171962,0.181578347307,66,8,-0.251329275244,0.20596118465,-0.218785247882,0.19009174267,-0.160709249895,0.161954532045,-0.0952096422294,0.188656274392,-0.249149306202,0.17461351509,-0.167452146728,0.173885006716,-0.204100600202,0.170433478047,-0.264772300094,0.187031044848,0.000360981651933,0.000211194571317,0.0538423351572,0.0130567426707
