params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'algorithm': 'ball_tree'},0.00225016474724,0.00166988372803,-0.200159331926,0.181682081118,ball_tree,2,-0.248886521714,0.20202612199,-0.218757731539,0.190165329227,-0.160709249895,0.162702818293,-0.095563743963,0.188496398392,-0.247350798361,0.177928317095,-0.166647443673,0.174477918408,-0.200565936682,0.171286823583,-0.263110016027,0.186372921958,0.000128465775563,8.68903255963e-05,0.0530779833764,0.0116648451902
{'algorithm': 'kd_tree'},0.00259834527969,0.00179183483124,-0.198919967319,0.181451487141,kd_tree,1,-0.249089842158,0.204438126137,-0.218936199273,0.190960129142,-0.160709249895,0.160424928054,-0.0888829890827,0.189185878777,-0.247350798361,0.174867152905,-0.166647443673,0.174231544386,-0.196865710819,0.171906111307,-0.263188577058,0.185598026419,0.000571040117869,0.000483137926214,0.0547915875656,0.0128672348651
{'algorithm': 'brute'},0.00191751122475,0.00561338663101,-0.201012628432,0.181299351839,brute,3,-0.24982311761,0.206224456154,-0.228829428092,0.190672129544,-0.158849058331,0.159805995412,-0.0892370908163,0.185763726477,-0.247410521921,0.175436922809,-0.167991001959,0.175805517995,-0.200700886594,0.169599609353,-0.265581206313,0.187086456971,0.000445938449699,0.00276154110277,0.0557341719737,0.013350700557
