params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_warm_start,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'warm_start': False},0.424630324046,0.0195194085439,0.507966666667,0.576633321795,False,2,0.507349265073,0.576478823941,0.5121,0.57625,0.504450445045,0.577171141443,0.0133755416136,0.000223802233185,0.00315321240456,0.000391601480696
{'warm_start': True},0.418479601542,0.0195523897807,0.509733333333,0.576399991795,True,1,0.504149585041,0.576578828941,0.5163,0.57555,0.508750875088,0.577071146443,0.0381781303726,0.000652301565067,0.00500891211091,0.000633750039478
