params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_leaf,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_leaf': 1},0.107163518667,0.0073259472847,-0.386096022434,0.572783936703,1,20,-0.596364162866,0.582120595754,-0.886657960251,0.590588504082,-0.210044103723,0.55896431132,-0.29607684627,0.568468843963,-0.52788514368,0.589982867094,-0.25744245769,0.554752925888,-0.256691991632,0.577138420597,-0.0553045357715,0.560255024926,0.00299379919459,0.00103570921346,0.249170372633,0.0132789006077
{'min_samples_leaf': 5},0.0809617042542,0.00713831186295,-0.0646612845076,0.410424683015,5,19,-0.159766552174,0.412595263828,-0.165610961016,0.415403674432,-0.0128900989898,0.396636319566,-0.034541211929,0.412257346029,-0.102022811043,0.413929273861,-0.0422737939785,0.408180686907,-0.0328094994754,0.411055942245,0.0332735858221,0.413338957249,0.00335604341074,0.00072835310911,0.0664429263825,0.00558109033903
{'min_samples_leaf': 9},0.0774599015713,0.00746819376945,0.00102075596117,0.325380807263,9,18,-0.0686469132621,0.331746646076,-0.030474544758,0.328140744592,0.0237888888872,0.316432051137,0.0478327025188,0.318059447481,-0.0629294179539,0.337325740652,0.00014710423393,0.332546497074,0.0331136897846,0.315738244401,0.0658189940987,0.323057086689,0.0137737398567,0.00155239744495,0.0472634039867,0.00769927710179
{'min_samples_leaf': 13},0.0652297139168,0.0075076520443,0.0156491491669,0.275956139487,13,17,-0.0459367763182,0.284646103011,-0.0133079815651,0.278357756867,0.0416361076508,0.273853742106,0.0572133386058,0.26731500146,-0.042264594522,0.277515013465,0.00326047200929,0.279535783246,0.041127435029,0.271150511717,0.0839340081701,0.275275204028,0.00228554412833,0.00237420188994,0.044506938213,0.00498966735014
{'min_samples_leaf': 17},0.0655854344368,0.00712099671364,0.033079400093,0.24265176896,17,16,-0.042722257379,0.24763708802,0.00892336599721,0.24141014238,0.0585025369383,0.240735972142,0.094631632894,0.234936967454,-0.0272545721677,0.248705349687,0.0308075969019,0.246764960037,0.0472682058656,0.235401983868,0.0948585313791,0.245621688095,0.00901033665653,0.000849936552595,0.0479983066588,0.00505627662439
{'min_samples_leaf': 21},0.0745309591293,0.00816571712494,0.0357993685801,0.215741728314,21,15,-0.0191861870385,0.227598874372,0.00829120162496,0.214951599882,0.0575902254885,0.210952475764,0.115861245566,0.204774216353,-0.0169920052616,0.220754196593,0.0102108742508,0.21969843473,0.0416432640287,0.216034353286,0.0892729172027,0.211169675534,0.00800774408232,0.00187010693737,0.0461071017691,0.0065784604402
{'min_samples_leaf': 25},0.0591334998608,0.00671938061714,0.0491974845643,0.196826015019,25,7,-0.00302200169883,0.206740922507,0.0156837594633,0.19803641714,0.0636323933352,0.192161599848,0.117979940907,0.186230067749,-0.00571441323262,0.201902602023,0.0340517444434,0.204030097619,0.0621555986036,0.191389331582,0.109177545569,0.194117081685,0.00409941784187,0.000524987363333,0.0444418031601,0.00659893665244
{'min_samples_leaf': 29},0.0576137900352,0.00734570622444,0.0446430974399,0.182650931702,29,14,-0.00670271741657,0.194409905113,0.0128638598315,0.186219537779,0.0741273592746,0.178188513498,0.114061301465,0.174811855182,-0.00715926710064,0.18911823368,0.0284867776607,0.18982855152,0.0434221262675,0.176665336253,0.0983075569784,0.171965520594,0.00174670657937,0.0011457506121,0.0435387002857,0.00771137379511
{'min_samples_leaf': 33},0.0551740825176,0.0077777504921,0.0461655727465,0.171036817157,33,13,0.0108022651789,0.17460850598,0.00578708685921,0.177822387803,0.0605570154873,0.165616171688,0.122811358832,0.161375431226,0.00875827220232,0.175631704661,0.0297027016195,0.182174397103,0.0333502427193,0.166388727424,0.0977494819694,0.16467721137,0.00269970470961,0.00253156386817,0.0410195697454,0.00697078463658
{'min_samples_leaf': 37},0.0518164038658,0.0065658390522,0.0500143604171,0.15968455328,37,5,0.0191090996047,0.167497108388,0.00789994836669,0.167112967799,0.0672065709375,0.153987842555,0.116013402069,0.150293713626,0.0134768371061,0.163780364568,0.0355648235289,0.165438480795,0.0383686045115,0.155405426923,0.102680700131,0.153960521587,0.00320709809763,0.000959288666764,0.0384603632097,0.00649823586859
{'min_samples_leaf': 41},0.0545226335526,0.00661778450012,0.0534650769298,0.151097334062,41,1,0.0326848056547,0.158730701745,0.0164329308875,0.155769545636,0.0723838718492,0.146942395995,0.113786320775,0.144180989347,0.00430102416815,0.153563880206,0.0428287242784,0.156725287875,0.046442280693,0.146460342194,0.0990534851925,0.146405529501,0.00236308257755,0.000608809322907,0.0361594878006,0.00532059248773
{'min_samples_leaf': 45},0.0517382323742,0.00671026110649,0.0505767657771,0.142217747295,45,4,0.0201302139223,0.152313740608,0.00490338349846,0.14676987893,0.073558739119,0.138870828611,0.105574840371,0.133919529605,0.009358674699,0.142725790192,0.0328482722844,0.145636902608,0.0542737805344,0.137692442501,0.104253088475,0.139812865306,0.00215932384763,0.000751204821753,0.0378713679016,0.00548775724248
{'min_samples_leaf': 49},0.0533472597599,0.00734889507294,0.0517050393423,0.134390002612,49,3,0.0283990524094,0.144976080588,0.0219829315502,0.13982381045,0.0725770850712,0.129057368912,0.103733205969,0.124528482754,9.21990329364e-05,0.134518232271,0.0332658566117,0.139151008443,0.0612546797772,0.130347719625,0.0925874646456,0.132717317854,0.00227712727099,0.00166735686082,0.0341658865795,0.00621590114166
