params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_samples,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_samples': 100},0.0467526117961,0.0139623483022,0.503566666667,0.50966675752,100,3,0.510848915108,0.514675733787,0.5028,0.5051,0.49704970497,0.509224538773,0.00193671376927,0.00104100097717,0.00565952783457,0.00392176299245
{'max_samples': 1000},0.094931602478,0.0178353786469,0.508666666667,0.53991673507,1000,2,0.508649135086,0.54417720886,0.5138,0.5355,0.503550355036,0.54007299635,0.000753382665432,0.00104620050257,0.00418431378448,0.00354417847488
{'max_samples': 10000},0.313956658045,0.0193676153819,0.509933333333,0.573233305956,10000,1,0.510548945105,0.572678633932,0.5108,0.5727,0.508450845085,0.574321283936,0.016156960503,0.00027501768834,0.00105319806521,0.000769366055439
