params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_penalty,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'penalty': 'none'},0.0244928002357,0.00210636854172,-1.50346048487e+31,-1.49354790773e+31,none,1,-1.25542476539e+31,-1.43828721878e+31,-2.16431703684e+31,-2.24630689966e+31,-2.78029637688e+30,-2.36909340747e+30,-2.05186943482e+30,-1.89543830447e+30,-2.2852882946e+31,-2.36714660579e+31,-1.19871351878e+31,-1.1447954969e+31,-1.79017047406e+30,-1.85922761316e+30,-4.46170663475e+31,-4.13947110818e+31,0.00529817059819,0.000291115010095,1.36450284855e+31,1.29638261138e+31
{'penalty': 'l2'},0.0437354445457,0.00420963764191,-2.84497374645e+31,-2.8379125085e+31,l2,4,-2.36780688409e+31,-2.70065733954e+31,-4.05193270317e+31,-4.23035885043e+31,-3.67980245656e+31,-3.2022465834e+31,-5.84751510389e+30,-5.41237440837e+30,-2.9240213245e+31,-3.03301999006e+31,-2.8859870242e+31,-2.76591966192e+31,-3.79071415112e+31,-3.93157654575e+31,-2.47477391757e+31,-2.29828365608e+31,0.0172543081068,0.00260218482451,1.03255660282e+31,1.05449938983e+31
{'penalty': 'l1'},0.037804543972,0.00326311588287,-1.72727203481e+31,-1.74213570131e+31,l1,3,-1.53272959212e+31,-1.76835025848e+31,-4.22148403497e+31,-4.41046642025e+31,-4.55956604189e+30,-3.97153835429e+30,-1.14725659232e+31,-1.08787374978e+31,-1.85378471882e+30,-1.91101733661e+30,-2.33799473599e+31,-2.2459115575e+31,-1.73161788285e+31,-1.79856239786e+31,-2.20575836414e+31,-2.03766565754e+31,0.0186591574744,0.00188607380848,1.18273978184e+31,1.23023012881e+31
{'penalty': 'elasticnet'},0.0292395055294,0.00344988703728,-1.62897111083e+31,-1.61129619755e+31,elasticnet,2,-1.46578278824e+31,-1.69154955603e+31,-1.81450292135e+31,-1.89597679486e+31,-1.99268019723e+31,-1.78306873908e+31,-2.68320824297e+31,-2.60369802278e+31,-2.80252934435e+30,-2.92808699601e+30,-2.2250952013e+31,-2.16785749767e+31,-4.78864665312e+30,-5.01500316633e+30,-2.09138193578e+31,-1.95390995376e+31,0.00438913111815,0.00188089088138,7.91811686047e+30,7.49920969092e+30
