params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_shuffle,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'shuffle': True},0.0259775221348,0.00238326191902,-8.98174080029e+30,-8.80581747212e+30,True,1,-1.15606344104e+30,-1.34846175472e+30,-1.85471435312e+31,-1.93920402047e+31,-2.61017343618e+30,-2.35191341356e+30,-2.87435402166e+31,-2.76235971141e+31,-7.27941496119e+29,-7.45525553808e+29,-3.95315006081e+30,-3.96561954048e+30,-3.96109871375e+29,-4.16101523908e+29,-1.57198043489e+31,-1.46032806717e+31,0.00724059143704,0.0010502356909,9.97741342355e+30,9.72005471537e+30
{'shuffle': False},0.0227943956852,0.00365880131721,-1.63588118582e+31,-1.62847930283e+31,False,2,-9.65441994554e+30,-1.12191257156e+31,-1.46187973805e+31,-1.52958081019e+31,-1.49084017949e+31,-1.31880682362e+31,-1.39175100557e+31,-1.36078636995e+31,-1.0635099297e+31,-1.10390942126e+31,-1.6352240453e+31,-1.57622522775e+31,-2.72521044309e+31,-2.82783999059e+31,-2.35319215083e+31,-2.1887732077e+31,0.00298748756586,0.004009576996,5.68900715126e+30,5.5500525718e+30
