params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_weight_fraction_leaf,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_weight_fraction_leaf': 0.10000000000000001},0.0523576438427,0.0072408914566,0.051653848548,0.0975085989209,0.10000000000000001,1,0.0349799831134,0.0988293061152,0.0128764949918,0.101118034579,0.0836519934876,0.0956935227976,0.0809284493488,0.0923073856626,0.0152383723581,0.104045732277,0.0476991187668,0.0982358543329,0.0561845764522,0.0959625065809,0.0818454113183,0.0938764490219,0.00415861760789,0.00155299500137,0.0272468641473,0.00360495043863
{'min_weight_fraction_leaf': 0.20000000000000001},0.0455382466316,0.00772970914841,0.0493345345597,0.0704337991254,0.20000000000000001,2,0.0415356387341,0.074948157391,0.0178737210538,0.0692814741056,0.0736638820435,0.0673354952197,0.0776748074238,0.0682140856826,0.031243877924,0.0733870342799,0.0529826724658,0.0727535611419,0.0427722753286,0.073749680177,0.0569345904877,0.0638009050054,0.00163062704601,0.00145031381089,0.0190072594033,0.00362848356079
{'min_weight_fraction_leaf': 0.30000000000000004},0.0578052699566,0.00820887088776,0.0421436058269,0.0598550840038,0.30000000000000004,3,0.0413572306175,0.061231051961,0.00244599345982,0.0607067150974,0.0622792013398,0.0594697191072,0.0631927942344,0.0557030363448,0.0234431354592,0.0644625848383,0.0505809957803,0.0593511666931,0.0468044370749,0.0613425620786,0.0470931103285,0.0565738359102,0.019137642385,0.00191072397044,0.0190247725078,0.00260932811937
{'min_weight_fraction_leaf': 0.40000000000000002},0.0399093329906,0.00643360614777,0.0197341571182,0.0353374697675,0.40000000000000002,4,0.00548286644982,0.0407739716174,-0.0247000226264,0.0367717782538,0.0321714298801,0.0339294233518,0.0489514797409,0.0310829003259,0.0211338634332,0.0357518387431,0.0154909699636,0.0385095894421,0.0334862841764,0.0340664567718,0.0259562570632,0.0318137996338,0.00288341003635,0.000276034534941,0.0207267624728,0.00308144688346
