params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.42770284414,0.276642024517,0.0442430160384,0.0609004668941,3,sqrt,4,53,202,0.20000000000000001,450,81,0.0517077395681,0.0581352761333,0.0442593413733,0.0606841908847,0.0403208805084,0.063032501103,0.0465836361685,0.0610698819146,0.0581017256778,0.0594220517965,0.065251802293,0.059351496929,-0.00263199829597,0.0685275633477,0.0501461415697,0.0569807730438,0.046905372482,0.00807781685435,0.0191528018026,0.00336134173211
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.74700903893,0.349947959185,0.0442842569183,0.0608865329194,3,sqrt,4,53,202,0.20000000000000001,490,65,0.0516531650214,0.0580347060188,0.0440899322258,0.0604665865032,0.0402682812259,0.0630128013777,0.0468716482963,0.0610692834862,0.0580128595877,0.0593916672815,0.0651796777311,0.0592584330128,-0.00217571678973,0.0687605857129,0.050171343613,0.0570981999622,0.273951272656,0.0465093839623,0.0190002811974,0.00342967187863
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.42325273156,0.276999026537,0.0453219175176,0.0697366511342,3,sqrt,4,53,182,0.10000000000000001,450,49,0.056311653925,0.0669166774356,0.0415622392572,0.0696459458107,0.0409622295249,0.0721727379345,0.0491334384009,0.0689177881647,0.0599412911731,0.0687841985437,0.0630149584244,0.0678136570222,-0.00686709223388,0.0780150810552,0.058320670385,0.0656271231068,0.0369706533956,0.00760623226339,0.021147940821,0.00361578534751
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.53104352951,0.310703068972,0.0454735045908,0.0697951019422,3,sqrt,4,53,182,0.10000000000000001,490,33,0.0563124863115,0.0669793494018,0.0422628150284,0.0696779368015,0.0413689982422,0.0723648704686,0.0489395563882,0.0689532979325,0.0598629636214,0.068668006319,0.0629491017838,0.0677490367606,-0.00668449617678,0.0782232220256,0.058581360805,0.0657450958283,0.0192595676473,0.0186399985916,0.0210693982395,0.00367673461175
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 450, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.38128045201,0.277242392302,0.044119888521,0.0608247722117,3,sqrt,4,53,182,0.20000000000000001,450,113,0.0516376857562,0.0582809843008,0.0441545867092,0.0605618128729,0.0402475232974,0.0630045430361,0.0465321465508,0.0609361092128,0.057996299919,0.0596102714631,0.064924084068,0.0590502257195,-0.00277216430922,0.0683093964513,0.0500340567539,0.0568448346375,0.0265218220673,0.0124894810984,0.0191345110852,0.00331261474799
"{'max_leaf_nodes': 4, 'min_samples_leaf': 53, 'n_estimators': 490, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.50993275642,0.299228131771,0.0442385114352,0.0608629389254,3,sqrt,4,53,182,0.20000000000000001,490,97,0.0516701618719,0.0581930505429,0.0441096926797,0.0604369903116,0.0402978651722,0.063179377754,0.0468494223425,0.060961019481,0.0580506008437,0.0595916348417,0.0649855303741,0.058995224061,-0.00227853511634,0.0685869716964,0.0500196738931,0.0569592427145,0.0280687579399,0.0176390246023,0.0190022571344,0.00340384606145
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.45154985785,0.282784223557,0.0495017699528,0.0776561338798,3,sqrt,5,41,202,0.10000000000000001,450,9,0.0635905598921,0.0745554065311,0.0452920369384,0.077643511305,0.0453127921204,0.0803419647672,0.0514181969382,0.0771078977786,0.0616712931815,0.0770709291872,0.069919732721,0.0753794177361,-0.00374417289594,0.0859459663437,0.0623517408669,0.0732039773893,0.0509743094941,0.0238646864033,0.0217727410564,0.00372823417358
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.57023185492,0.295246243477,0.0495886162426,0.0775975974251,3,sqrt,5,41,202,0.10000000000000001,490,5,0.0632858923104,0.0744537279832,0.0457022844078,0.0775918231676,0.045487402537,0.0803171652511,0.0513710871301,0.0769273582821,0.0614125653413,0.0769211051513,0.0700455857377,0.0752797996014,-0.00355126960769,0.0862045433803,0.0627555171599,0.0730852565839,0.0889113321821,0.0135642815768,0.0217023849083,0.00384056937787
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 450, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.40080204606,0.274058312178,0.0442430160384,0.0609004668941,3,sqrt,5,41,202,0.20000000000000001,450,81,0.0517077395681,0.0581352761333,0.0442593413733,0.0606841908847,0.0403208805084,0.063032501103,0.0465836361685,0.0610698819146,0.0581017256778,0.0594220517965,0.065251802293,0.059351496929,-0.00263199829597,0.0685275633477,0.0501461415697,0.0569807730438,0.0295022365872,0.0085816998329,0.0191528018026,0.00336134173211
"{'max_leaf_nodes': 5, 'min_samples_leaf': 41, 'n_estimators': 490, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'sqrt', 'max_depth': 3}",1.50720262527,0.302348047495,0.0442842569183,0.0608865329194,3,sqrt,5,41,202,0.20000000000000001,490,65,0.0516531650214,0.0580347060188,0.0440899322258,0.0604665865032,0.0402682812259,0.0630128013777,0.0468716482963,0.0610692834862,0.0580128595877,0.0593916672815,0.0651796777311,0.0592584330128,-0.00217571678973,0.0687605857129,0.050171343613,0.0570981999622,0.023313312807,0.0201425073697,0.0190002811974,0.00342967187863
