params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_leaf_nodes,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_leaf_nodes': None},0.0183357894421,0.000387191772461,-0.211355965325,0.865407700626,,3,-0.0701498500248,0.865314762876,-0.126927206686,0.872699786408,-0.310548222491,0.850288974101,-1.17357759268,0.872235462927,-0.153417482228,0.866386416512,0.0126063605729,0.84789381763,0.0321094422489,0.871783030699,0.0990568286847,0.876659353856,0.000124106743301,2.6672529103e-05,0.382740846548,0.0100207029355
{'max_leaf_nodes': 10},0.0233536958694,0.000456035137177,-0.181970095276,0.932541954782,10,2,-0.0277311221027,0.925266897455,-0.0475844991878,0.931139632399,-0.131145923683,0.92754597477,-1.34703586162,0.939958290983,-0.214928788391,0.924215506577,0.235584523393,0.927848134717,-0.0221581484596,0.930938117806,0.0992390578503,0.953423083548,0.00123609152782,4.31244033054e-05,0.458512140895,0.00911599106099
{'max_leaf_nodes': 5},0.0203330814838,0.000458925962448,-0.15560890941,0.796869925675,5,1,-0.121362099831,0.793741420637,0.0669861742529,0.805457226926,-0.202129528619,0.80007027233,-0.8519236851,0.815189247712,-0.236152251621,0.776642861578,-0.0075643209755,0.788117909528,0.0451509845362,0.789723504764,0.0621234520747,0.806016961929,0.000738625004611,7.19197100577e-05,0.285888132949,0.0114555694851
