params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_loss,param_max_depth,param_max_features,param_max_leaf_nodes,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'loss': 'ls', 'max_leaf_nodes': 20, 'learning_rate': 0.1, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.00763154029846,0.000390857458115,-0.200973700069,0.456806680725,0.1,ls,1,10,20,50,7,-0.128688117122,0.441693329911,0.0114255567882,0.425516734782,0.194172780466,0.432617904582,-0.401967300335,0.510225622137,-0.816178892217,0.516080931213,-0.162469812216,0.430437867267,-0.259303798277,0.465593913747,-0.0447800176355,0.43228714216,0.0003242380696,8.7461926106e-05,0.286058705264,0.0345205167482
"{'loss': 'ls', 'max_leaf_nodes': 10, 'learning_rate': 0.1, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.00762012600899,0.000412553548813,-0.200973700069,0.456806680725,0.1,ls,1,10,10,50,7,-0.128688117122,0.441693329911,0.0114255567882,0.425516734782,0.194172780466,0.432617904582,-0.401967300335,0.510225622137,-0.816178892217,0.516080931213,-0.162469812216,0.430437867267,-0.259303798277,0.465593913747,-0.0447800176355,0.43228714216,0.000405668659514,8.03159207602e-05,0.286058705264,0.0345205167482
"{'loss': 'lad', 'max_leaf_nodes': 20, 'learning_rate': 0.1, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.0128698945045,0.000504523515701,-0.038298062466,0.164132355735,0.1,lad,1,10,20,50,3,-0.126195197702,0.159028899289,0.0444849577312,0.163419041125,0.202075922875,0.131350879082,-0.0178581955522,0.174528744113,-0.305757427723,0.195344021302,0.0591984668482,0.142023571284,-0.194313274274,0.18251741554,0.0319802480688,0.164846274147,0.000556762539293,0.000157272722974,0.151284602795,0.0193995834658
"{'loss': 'lad', 'max_leaf_nodes': 10, 'learning_rate': 0.1, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.0120905041695,0.000411599874496,-0.038298062466,0.164132355735,0.1,lad,1,10,10,50,3,-0.126195197702,0.159028899289,0.0444849577312,0.163419041125,0.202075922875,0.131350879082,-0.0178581955522,0.174528744113,-0.305757427723,0.195344021302,0.0591984668482,0.142023571284,-0.194313274274,0.18251741554,0.0319802480688,0.164846274147,0.000283664779249,6.03735841195e-05,0.151284602795,0.0193995834658
"{'loss': 'ls', 'max_leaf_nodes': 20, 'learning_rate': 0.01, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.00811174511909,0.000431776046753,-0.043694435904,0.100622732554,0.01,ls,1,10,20,50,5,-0.0849927958097,0.0961011408963,0.024412639029,0.0906855843045,0.0763775603679,0.0890243327187,-0.117735265562,0.121232902364,-0.143731249383,0.11590702129,0.0119239486038,0.0956624169401,-0.0689698464159,0.101039685745,-0.046840478062,0.0953287761733,0.000335792158955,8.29916717953e-05,0.0707044638231,0.0109824161848
"{'loss': 'ls', 'max_leaf_nodes': 10, 'learning_rate': 0.01, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.00813773274422,0.000476509332657,-0.043694435904,0.100622732554,0.01,ls,1,10,10,50,5,-0.0849927958097,0.0961011408963,0.024412639029,0.0906855843045,0.0763775603679,0.0890243327187,-0.117735265562,0.121232902364,-0.143731249383,0.11590702129,0.0119239486038,0.0956624169401,-0.0689698464159,0.101039685745,-0.046840478062,0.0953287761733,0.000419318713062,0.000169978942839,0.0707044638231,0.0109824161848
"{'loss': 'lad', 'max_leaf_nodes': 20, 'learning_rate': 0.01, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.0125733315945,0.000394523143768,-0.0117668383033,0.0499731251257,0.01,lad,1,10,20,50,1,-0.110985792218,0.0496169298428,0.0372292615529,0.0465190195093,0.103090409943,0.039652258946,-0.00677573801914,0.0565176333299,-0.0672239132433,0.0535096345403,0.0448462733772,0.0482570787451,-0.0754338439997,0.0594042935238,-0.018881363819,0.0463081525685,0.000617628873572,3.69778972899e-05,0.0669391074378,0.00590803755745
"{'loss': 'lad', 'max_leaf_nodes': 10, 'learning_rate': 0.01, 'n_estimators': 50, 'max_features': 10, 'max_depth': 1}",0.0121311247349,0.000368893146515,-0.0117668383033,0.0499731251257,0.01,lad,1,10,10,50,1,-0.110985792218,0.0496169298428,0.0372292615529,0.0465190195093,0.103090409943,0.039652258946,-0.00677573801914,0.0565176333299,-0.0672239132433,0.0535096345403,0.0448462733772,0.0482570787451,-0.0754338439997,0.0594042935238,-0.018881363819,0.0463081525685,0.000343716393612,4.35709137922e-05,0.0669391074378,0.00590803755745
