params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_epsilon,param_fit_intercept,param_l1_ratio,param_learning_rate,param_loss,param_penalty,param_shuffle,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00581225752831,0.00106605887413,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.0,invscaling,epsilon_insensitive,elasticnet,True,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.00072347204393,0.000139875678571,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'invscaling', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00552222132683,0.00109103322029,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.0,invscaling,epsilon_insensitive,elasticnet,False,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000713187868745,0.00014936997416,1.66062234161,0.19613375953
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.0046788752079,0.00101485848427,-4.3349739108e+11,-4.04735029653e+11,20.00001,10.00001,True,0.0,constant,huber,l2,True,254,-6.85546405942e+11,-3.87615923265e+11,-4.80483148899e+11,-3.98084710083e+11,-3.29875343379e+11,-4.27083542756e+11,-3.44867608266e+11,-4.14588916477e+11,-3.00565932025e+11,-4.20231098285e+11,-3.6339849062e+11,-4.09381028423e+11,-4.66995646839e+11,-3.90549668168e+11,-4.96246552666e+11,-3.90345349768e+11,0.000945440510279,0.000187914717164,1.18307519611e+11,14159124675.7
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00435683131218,0.000921130180359,-4.29833104536e+11,-4.00549735582e+11,20.00001,10.00001,True,0.0,constant,huber,l2,False,248,-6.60417234342e+11,-3.73308180513e+11,-4.6676172112e+11,-3.86696464059e+11,-3.162084972e+11,-4.0947379264e+11,-3.36853777641e+11,-4.04948659274e+11,-2.96436455934e+11,-4.14471693225e+11,-3.56179241136e+11,-4.01235131226e+11,-4.63089210133e+11,-3.87358222147e+11,-5.42718698779e+11,-4.2690574157e+11,0.00102526482552,0.000207440331805,1.18931258329e+11,16186223033.1
"{'loss': 'huber', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.0060493350029,0.00104188919067,-4.3349739108e+11,-4.04735029653e+11,20.00001,10.00001,True,0.0,constant,huber,elasticnet,True,254,-6.85546405942e+11,-3.87615923265e+11,-4.80483148899e+11,-3.98084710083e+11,-3.29875343379e+11,-4.27083542756e+11,-3.44867608266e+11,-4.14588916477e+11,-3.00565932025e+11,-4.20231098285e+11,-3.6339849062e+11,-4.09381028423e+11,-4.66995646839e+11,-3.90549668168e+11,-4.96246552666e+11,-3.90345349768e+11,0.00108358183765,0.000163626203588,1.18307519611e+11,14159124675.7
"{'loss': 'huber', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00566679239273,0.00101897120476,-4.29833104536e+11,-4.00549735582e+11,20.00001,10.00001,True,0.0,constant,huber,elasticnet,False,248,-6.60417234342e+11,-3.73308180513e+11,-4.6676172112e+11,-3.86696464059e+11,-3.162084972e+11,-4.0947379264e+11,-3.36853777641e+11,-4.04948659274e+11,-2.96436455934e+11,-4.14471693225e+11,-3.56179241136e+11,-4.01235131226e+11,-4.63089210133e+11,-3.87358222147e+11,-5.42718698779e+11,-4.2690574157e+11,0.000841066979286,0.000190506830006,1.18931258329e+11,16186223033.1
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00357022881508,0.000865012407303,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.0,constant,epsilon_insensitive,l2,True,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000416468362251,0.00015563659319,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'l2', 'epsilon': 10.00001, 'alpha': 20.00001}",0.0044986307621,0.000994890928268,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.0,constant,epsilon_insensitive,l2,False,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000869116914563,0.000227295431681,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': True, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.0048308968544,0.00102472305298,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.0,constant,epsilon_insensitive,elasticnet,True,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000781994828427,0.000137172757334,1.66062234161,0.19613375953
"{'loss': 'epsilon_insensitive', 'shuffle': False, 'fit_intercept': True, 'l1_ratio': 0.0, 'learning_rate': 'constant', 'penalty': 'elasticnet', 'epsilon': 10.00001, 'alpha': 20.00001}",0.00567147135735,0.00109702348709,-6.03955228966,-5.63818782383,20.00001,10.00001,True,0.0,constant,epsilon_insensitive,elasticnet,False,61,-9.51160749333,-5.31798901802,-6.1878262733,-5.57311470237,-4.71699083799,-5.80352468212,-4.55499186675,-5.82031918144,-4.09786055475,-5.93886010581,-5.36403598533,-5.67881061165,-7.23937236016,-5.45201697841,-6.64373294564,-5.52086731078,0.000774192893371,0.000190912690936,1.66062234161,0.19613375953
