params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_loss,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'loss': 'squared_loss'},0.00557857751846,0.00109905004501,-1.91191659369e+31,-1.9389920618e+31,squared_loss,3,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000765300583548,0.000165804041443,1.22818799457e+31,1.3315837408e+31
{'loss': 'huber'},0.00919613242149,0.00175249576569,-375582.714185,-361500.450798,huber,1,-122663.356514,-119974.408775,-345191.998121,-269044.300421,-385468.964613,-542658.694137,-414524.646755,-288018.338477,-174959.482699,-268476.12597,-367462.901375,-396316.654442,-800460.90202,-753102.336857,-393929.461385,-254412.747307,0.00346930242503,0.000939473889721,189631.121909,187011.498687
{'loss': 'epsilon_insensitive'},0.00506609678268,0.00104305148125,-27376101.1878,-24294482.8876,epsilon_insensitive,2,-85727725.856,-83426194.3865,-3144499.45778,-2529191.52389,-1538349.75639,-2177877.04362,-570493.877808,-389340.371951,-1543755.07654,-2377493.87412,-35670540.088,-38260533.656,-19573578.2336,-18238782.8326,-71239867.1565,-46956449.412,0.000852031113835,0.000177538312783,31818292.2189,27965444.1165
{'loss': 'squared_epsilon_insensitive'},0.00569021701813,0.00117614865303,-2.20412951923e+31,-1.85714488119e+31,squared_epsilon_insensitive,4,-5.87257431099e+30,-5.75565098056e+30,-1.38942725408e+31,-1.09602357727e+31,-3.03220492129e+30,-4.28891771727e+30,-1.1524931695e+31,-7.93567305768e+30,-1.48879371341e+31,-2.2880446744e+31,-7.52711668381e+30,-8.35624693276e+30,-3.42440243272e+31,-3.22615755519e+31,-8.53472999256e+31,-5.61328437379e+31,0.00114402746003,0.000168886558256,2.55395029075e+31,1.68095264281e+31
