params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.828945875168,0.153932541609,0.00295436427603,0.0132517171442,1,log2,2,49,182,0.10000000000000001,250,97,0.00527781175403,0.0137038921315,0.011096781903,0.011691548879,0.002141068054,0.0136681995351,-0.000477259880862,0.0126803829899,-0.00389198976267,0.014433958839,-0.00211649194008,0.0142329547512,0.00656303740657,0.0129843611764,0.00504195667426,0.0126184388515,0.0706723733531,0.01758466686,0.00466505061958,0.000863966927057
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 170, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.514504879713,0.104125231504,0.00382565296683,0.0126233864918,1,log2,2,49,202,0.20000000000000001,170,81,0.00648757438273,0.012970972343,0.0131526518319,0.0109838216477,0.00682170882217,0.0126800434783,-0.00140502311452,0.0121911136093,-0.00608762198499,0.0142751974148,-0.00187195138313,0.0138360075047,0.00814865862538,0.0118527381506,0.00535922655509,0.0121971977858,0.0134402499333,0.00598853370453,0.00593918131861,0.000998343840204
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 250, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.760897010565,0.156137883663,0.00385730723197,0.0128634695201,1,log2,2,49,202,0.20000000000000001,250,65,0.00563593973691,0.013306160374,0.0129150765386,0.0111241653356,0.00730133839133,0.0127465630386,-0.00172575606521,0.0124905434699,-0.00512659164753,0.0143638032709,-0.00263066201028,0.0141573870859,0.00869941197101,0.0123092778364,0.00578970094098,0.0124098557494,0.0291661908774,0.00636358680404,0.00589727662275,0.000988180974598
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 170, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.507813066244,0.108645230532,0.00287675235064,0.0130792916397,1,log2,2,49,202,0.10000000000000001,170,113,0.00630200623577,0.0134117643893,0.0114051720647,0.0117062314603,0.00178278036711,0.0136572901121,-0.000482706666487,0.0123607030667,-0.00514425649768,0.0144090429808,-0.00170355971019,0.0139258202077,0.0061241146783,0.0126344467152,0.00473046833363,0.0125290341854,0.0165656487235,0.0105743563742,0.0049528591886,0.000853800596982
"{'max_leaf_nodes': 2, 'min_samples_leaf': 49, 'n_estimators': 250, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.754745751619,0.153205394745,0.00295436427603,0.0132517171442,1,log2,2,49,202,0.10000000000000001,250,97,0.00527781175403,0.0137038921315,0.011096781903,0.011691548879,0.002141068054,0.0136681995351,-0.000477259880862,0.0126803829899,-0.00389198976267,0.014433958839,-0.00211649194008,0.0142329547512,0.00656303740657,0.0129843611764,0.00504195667426,0.0126184388515,0.0243744213651,0.0152027266283,0.00466505061958,0.000863966927057
"{'max_leaf_nodes': 7, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.514567255974,0.106125593185,0.00854777551268,0.0207204161641,1,log2,7,33,182,0.20000000000000001,170,57,0.00939349886001,0.0215649354105,0.0213744050875,0.0178881507162,0.0125417004341,0.0201566011767,0.00362606825314,0.0207628697383,-0.00493293879092,0.0221602320628,0.00109699251845,0.0222933034197,0.0149781419048,0.0197798717647,0.0103043358344,0.0211573650239,0.0138849498197,0.0065398168692,0.00780297422717,0.00135449354858
"{'max_leaf_nodes': 7, 'min_samples_leaf': 33, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.74737650156,0.150471359491,0.00884079054428,0.0210530593275,1,log2,7,33,182,0.20000000000000001,250,49,0.00881932429316,0.0220006989511,0.0215636588434,0.0184649465689,0.0134259182458,0.0205040306419,0.0036702852905,0.0212074688728,-0.00336235328398,0.0223616081067,0.000889686866733,0.0224354585472,0.0152768857489,0.0204413236891,0.0104429183497,0.0210089392424,0.0292605039863,0.0103421029816,0.00763017253366,0.00122071279874
"{'max_leaf_nodes': 7, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.509446263313,0.106157720089,0.00952674530675,0.0261789955432,1,log2,7,33,182,0.10000000000000001,170,45,0.00929820370599,0.0266750787984,0.0233124626077,0.0229335000972,0.0084488423451,0.0258003714337,0.00886049227678,0.0263098435311,0.001324184358,0.0273872271715,0.00280320279687,0.0281460076806,0.0126886764166,0.0254898694988,0.00947789794694,0.0266900661339,0.0168955838739,0.0118824983462,0.0062668994035,0.00145794654258
"{'max_leaf_nodes': 7, 'min_samples_leaf': 33, 'n_estimators': 250, 'min_samples_split': 182, 'min_weight_fraction_leaf': 0.10000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.758649975061,0.152588397264,0.00957550912415,0.0264127212299,1,log2,7,33,182,0.10000000000000001,250,37,0.00842665900138,0.0271032049976,0.0233665025106,0.0234998860345,0.00881371306402,0.0258091902473,0.00868487064214,0.0264759559381,0.00194084319662,0.0274219548873,0.00235304729939,0.0281614569887,0.0131798717304,0.0259924097956,0.00983856554858,0.0268377109504,0.0272933761546,0.0121486737415,0.00628885554422,0.00131165602761
"{'max_leaf_nodes': 7, 'min_samples_leaf': 33, 'n_estimators': 170, 'min_samples_split': 202, 'min_weight_fraction_leaf': 0.20000000000000001, 'max_features': 'log2', 'max_depth': 1}",0.514761865139,0.102694302797,0.00854777551268,0.0207204161641,1,log2,7,33,202,0.20000000000000001,170,57,0.00939349886001,0.0215649354105,0.0213744050875,0.0178881507162,0.0125417004341,0.0201566011767,0.00362606825314,0.0207628697383,-0.00493293879092,0.0221602320628,0.00109699251845,0.0222933034197,0.0149781419048,0.0197798717647,0.0103043358344,0.0211573650239,0.0249782311398,0.00916089065147,0.00780297422717,0.00135449354858
