params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_features': 'auto'},0.148535758257,0.0097528398037,-0.352568475194,0.55603824913,auto,3,-0.229963343836,0.557981875701,-0.306555024022,0.55699350523,-0.564523313675,0.552429460096,-0.316845369128,0.550517742908,-0.494287021657,0.562784671862,-0.337424822096,0.557113365173,-0.243710168995,0.537429861046,-0.327238738139,0.57305551102,0.0373410087306,0.00448603057704,0.109633168359,0.00955718936984
{'max_features': 'sqrt'},0.0616686344147,0.00883913040161,-0.328404768879,0.555717272362,sqrt,1,-0.247694674214,0.560254919877,-0.282976891952,0.551806569716,-0.345210080155,0.560687134425,-0.279898762966,0.549384949233,-0.503159098921,0.560918885335,-0.367887207618,0.559214465437,-0.230577977131,0.53992576396,-0.369833458074,0.563545490914,0.00224991390773,0.00223691517101,0.0826116054115,0.00750517792544
{'max_features': 'log2'},0.0638307332993,0.00869727134705,-0.328404768879,0.555717272362,log2,1,-0.247694674214,0.560254919877,-0.282976891952,0.551806569716,-0.345210080155,0.560687134425,-0.279898762966,0.549384949233,-0.503159098921,0.560918885335,-0.367887207618,0.559214465437,-0.230577977131,0.53992576396,-0.369833458074,0.563545490914,0.00603954105596,0.00114595328286,0.0826116054115,0.00750517792544
