params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_fit_intercept,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'fit_intercept': True},0.00481224060059,0.000892579555511,-1.91191659369e+31,-1.9389920618e+31,True,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000871874324512,0.000185883972539,1.22818799457e+31,1.3315837408e+31
{'fit_intercept': False},0.0114146173,0.00164723396301,-2.25082404479e+31,-1.86603958846e+31,False,2,-1.28668091298e+31,-1.26020924567e+31,-5.24157407476e+31,-4.0802905099e+31,-3.08049447463e+30,-4.36696906266e+30,-3.3140811586e+30,-2.27486846185e+30,-9.9432078497e+30,-1.55233817407e+31,-5.47035918105e+30,-5.78752626521e+30,-2.39872985694e+31,-2.26614938921e+31,-6.89879324725e+31,-4.52639300989e+31,0.00833308211568,0.00089124128075,2.33023273042e+31,1.54073430623e+31
