params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_min_samples_leaf,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'min_samples_leaf': 1},0.14046189189,0.00845602154732,-0.352568475194,0.55603824913,1,20,-0.229963343836,0.557981875701,-0.306555024022,0.55699350523,-0.564523313675,0.552429460096,-0.316845369128,0.550517742908,-0.494287021657,0.562784671862,-0.337424822096,0.557113365173,-0.243710168995,0.537429861046,-0.327238738139,0.57305551102,0.0194371430138,0.00255589429367,0.109633168359,0.00955718936984
{'min_samples_leaf': 5},0.100675493479,0.00765186548233,-0.0950114244275,0.372328369539,5,19,-0.0604435870545,0.371807802304,-0.0574308555069,0.363718919576,-0.145673935552,0.372495040048,-0.115893671903,0.368115102027,-0.0239783119015,0.356688612058,-0.204360845527,0.387136286074,-0.0813723685673,0.387545783265,-0.0709378194081,0.371119410956,0.0135548606249,0.00132056387767,0.0540584800326,0.00993151982737
{'min_samples_leaf': 9},0.0871069431305,0.00727728009224,-0.0385591609893,0.28754510725,9,18,-0.00892234003818,0.290830824488,0.0210523880312,0.278097858361,-0.0787500314692,0.283095578212,-0.0665938014701,0.285840133019,0.0295357352447,0.274999395763,-0.131925942702,0.304106701608,-0.0564052748939,0.296042409778,-0.0164640206169,0.287347956771,0.00414293945056,0.000136088483169,0.0512275254375,0.00885067792669
{'min_samples_leaf': 13},0.078969180584,0.00783142447472,-0.016078358399,0.235940894665,13,17,0.00776341943514,0.239294077236,0.0169977317571,0.228563068002,-0.0409928305103,0.236820923223,-0.0480212361696,0.236351070935,0.0594164278833,0.226791028148,-0.0959236102915,0.246389916353,-0.0314460487543,0.236095023543,0.00357927945847,0.237222049883,0.00197829552869,0.00129552113576,0.0447225503937,0.00571386559578
{'min_samples_leaf': 17},0.0763314068317,0.0080443918705,0.000281438805879,0.202345214673,17,16,0.0101208940833,0.205164891112,0.0289578486153,0.195339873055,-0.0231763513456,0.204249035218,-0.0312588678319,0.199248923688,0.0926172751785,0.195712124408,-0.0764464969285,0.211443405157,-0.024127861047,0.208951174242,0.0255650697229,0.198652290502,0.00268572943299,0.00154766375371,0.0475819936184,0.00563791056427
{'min_samples_leaf': 21},0.0727990269661,0.00724592804909,0.0108452660638,0.179769050776,21,14,0.0148808835503,0.181304465643,0.0505058636729,0.173059979975,-0.0127243483862,0.179597420586,-0.0574346061503,0.179152137242,0.122330948263,0.171310187523,-0.0514839482325,0.193052292118,-0.0116645939561,0.186833688827,0.0323519297496,0.173842234292,0.00372033583341,0.000352109129289,0.0548750120242,0.00689938676217
{'min_samples_leaf': 25},0.0730908811092,0.0074191391468,0.0106372228285,0.163753239809,25,15,0.0207243978178,0.168888216145,0.0539538154251,0.155718374378,0.0023334557936,0.16603641947,-0.0541721051044,0.16297071098,0.108700404298,0.155450533243,-0.0618502808504,0.171409085486,-0.0195838968435,0.17046918286,0.034991992092,0.159083395913,0.0040143077422,0.000347143907685,0.0531796206703,0.00603335051642
{'min_samples_leaf': 29},0.0685611069202,0.00760731101036,0.0199793415096,0.148148240556,29,4,0.0265636147813,0.15148176416,0.0760426904042,0.139054387685,0.0240266000561,0.152763629856,-0.0377624493197,0.150445656844,0.123601911525,0.137740841097,-0.0582760313079,0.157551795469,-0.0105166581231,0.153253128695,0.0161550540605,0.142894720644,0.0035322019758,0.00104003866398,0.0551623943612,0.00680799752623
{'min_samples_leaf': 33},0.0667501091957,0.00707015395164,0.0238934744056,0.137133303625,33,1,0.0393584554834,0.143637060986,0.0651305937223,0.125658165739,0.0102644967502,0.136769352518,-0.0222930324056,0.138652333038,0.137278295062,0.126998862454,-0.0637265447262,0.152876818761,-0.00360472396302,0.141460682712,0.028740255322,0.13101315279,0.00333234539136,0.000286976252737,0.0565371952781,0.00853789481359
{'min_samples_leaf': 37},0.0685004293919,0.00733637809753,0.0211102724187,0.126606187855,37,3,0.0318952943882,0.132529554597,0.0605175527964,0.113411117773,0.0259923071014,0.128125346481,-0.0205249434594,0.128230352377,0.104679636286,0.117309751224,-0.0554916738177,0.139450686794,-0.00685043611517,0.130320599418,0.0286644421706,0.123472094178,0.00630217578607,0.000258738648261,0.0462562689754,0.0078195762739
