params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'n_estimators': 10},0.140766531229,0.00827810168266,-0.352568475194,0.55603824913,10,13,-0.229963343836,0.557981875701,-0.306555024022,0.55699350523,-0.564523313675,0.552429460096,-0.316845369128,0.550517742908,-0.494287021657,0.562784671862,-0.337424822096,0.557113365173,-0.243710168995,0.537429861046,-0.327238738139,0.57305551102,0.0250433022026,0.00229292724408,0.109633168359,0.00955718936984
{'n_estimators': 50},0.60940849781,0.0331670641899,-0.327911233585,0.588659523613,50,12,-0.215377376561,0.589422498829,-0.289763659025,0.589465388768,-0.523993627608,0.589580001218,-0.3020925126,0.580128589165,-0.392474032121,0.598760614823,-0.368831760383,0.593393421704,-0.240293830668,0.571703726672,-0.290463069717,0.596821947727,0.0147688697182,0.00110653860028,0.092301162479,0.00831731419614
{'n_estimators': 90},1.11617463827,0.0616030097008,-0.314502275161,0.593315323851,90,11,-0.203896012193,0.594810474228,-0.296010672555,0.596280929382,-0.463929617126,0.5934140888,-0.291486154946,0.582012119212,-0.384569713745,0.602154553283,-0.363541396896,0.596003570088,-0.231447960685,0.577737617599,-0.281136673142,0.60410923822,0.0391177775982,0.00370591721383,0.0796551324874,0.00853913523656
{'n_estimators': 130},1.60530748963,0.0908250212669,-0.305493852059,0.594746763188,130,10,-0.196209528733,0.5948322765,-0.296321157839,0.597695854123,-0.422037674476,0.594639812833,-0.283227744218,0.583590999924,-0.362011515661,0.602295188949,-0.362594839499,0.597938870323,-0.233685106538,0.580105211103,-0.287863249506,0.606875891749,0.0396554568808,0.00806596699333,0.0689452200041,0.00838022992511
{'n_estimators': 170},2.07465800643,0.118052244186,-0.300680236574,0.595407374036,170,1,-0.195070718101,0.596011912218,-0.298572484844,0.599328813289,-0.422321078232,0.595152404589,-0.288022655391,0.583849405422,-0.345148067334,0.60279833313,-0.350219712053,0.59771278727,-0.223572533089,0.580737064989,-0.282514643548,0.607668271382,0.0348544672224,0.00766575546586,0.0678432532018,0.00847705416045
{'n_estimators': 210},2.61186921597,0.147952884436,-0.301829084421,0.596383624833,210,3,-0.194725888278,0.597694899829,-0.295295261216,0.600979870318,-0.427654793495,0.596649828903,-0.283214112078,0.584988547564,-0.350098910359,0.603696285166,-0.353721926092,0.599021514854,-0.225880682033,0.581213013538,-0.284041101817,0.606825038489,0.078592773769,0.0122091263469,0.0696417861204,0.00830938924007
{'n_estimators': 250},3.07645222545,0.171314924955,-0.301520878859,0.59737597807,250,2,-0.192360092924,0.599225551654,-0.295192638227,0.602035844042,-0.429351048263,0.59752542741,-0.285024369551,0.586473741158,-0.350075015074,0.604401603168,-0.356367990042,0.599914782806,-0.219911538159,0.581333384923,-0.283884338629,0.608097489396,0.143869277405,0.00828143315189,0.0715066890525,0.00845677920069
{'n_estimators': 290},3.7880781889,0.19778329134,-0.3027390133,0.598171196594,290,6,-0.191734335676,0.599072068401,-0.301419954195,0.603071472437,-0.433467331618,0.598326213761,-0.282911169309,0.587845856151,-0.353065617865,0.605759158031,-0.352783180926,0.6010930147,-0.222333757902,0.582075920128,-0.284196758905,0.608125869143,0.417220113861,0.00653553622621,0.0721567920513,0.00833463083195
{'n_estimators': 330},3.99281096458,0.226993501186,-0.302356117945,0.598392255492,330,4,-0.192135661158,0.599588107089,-0.302096909668,0.60357991295,-0.428288854613,0.59855088017,-0.281962548859,0.58813273061,-0.354165949188,0.605795376184,-0.349366939479,0.600969534882,-0.227229665906,0.582511134659,-0.283602414689,0.608010367392,0.0404491356433,0.0262569722018,0.0701012921104,0.00821425212675
{'n_estimators': 370},4.52868032455,0.251688569784,-0.302867030068,0.598103738368,370,8,-0.189306137413,0.59952512796,-0.30426645963,0.603307000376,-0.428502940329,0.598516267388,-0.281152313183,0.587681862412,-0.357112647058,0.604876647914,-0.348218580718,0.60038010351,-0.229335593347,0.58300221863,-0.285041568864,0.607540678754,0.0641887447986,0.014500053873,0.0706026867253,0.00795334714735
{'n_estimators': 410},5.15464103222,0.283535271883,-0.302845871709,0.59799717697,410,7,-0.192340773051,0.599136479176,-0.305659359827,0.603345163315,-0.43270909046,0.598342309288,-0.284850757518,0.587506049812,-0.350338512785,0.604609201653,-0.34458370451,0.600308932773,-0.22824853072,0.583457330554,-0.284036244798,0.607271949192,0.394643077471,0.01265983534,0.0701103908617,0.00779882564656
{'n_estimators': 450},5.45840409398,0.303435266018,-0.303238274524,0.598182365788,450,9,-0.192312751185,0.599162444929,-0.307580177273,0.603370136907,-0.430296335215,0.598572169205,-0.282887361061,0.587749026209,-0.355091254154,0.604813509497,-0.344713124199,0.600444261751,-0.229972424578,0.583845834836,-0.283052768527,0.60750154297,0.0637813676659,0.00644025608954,0.0698797792513,0.00773265372535
{'n_estimators': 490},6.44675272703,0.352995693684,-0.302701302073,0.598030579016,490,5,-0.192067551949,0.598844066781,-0.304377713261,0.603122464453,-0.431868089523,0.598430552462,-0.28095455819,0.587463319221,-0.356746910235,0.604525073559,-0.34440028329,0.600390360241,-0.229850269089,0.58421827842,-0.281345041047,0.60725051699,0.261606754215,0.0152846977366,0.0705538026601,0.0075989304248
