,testR2,time,trainR2
16,-0.760826604209,0.0136339664459,0.723790967245
32,-4.81716019846,0.0125060081482,0.458234274266
64,-0.541416928371,0.012974023819,0.817287022126
128,-0.130534625734,0.0142438411713,0.799996236257
256,-0.138031513429,0.0434019565582,0.817179841652
512,-0.101230851486,0.023421049118,0.742683225939
1024,-0.436213017929,0.0372488498688,0.673491530049
1598,-0.351704028079,0.0596399307251,0.637884174475
2048,-0.485734525175,0.0736711025238,0.583328265351
