params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_neighbors,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'n_neighbors': 5},0.00637444853783,0.00329577922821,-0.114850822425,0.240281368023,5,19,-0.0190346957371,0.236257959758,-0.124402799697,0.242938048349,-0.0930749564086,0.251467768592,-0.176318308658,0.233631625598,-0.022383566318,0.230265294162,-0.0710831878677,0.249985396797,-0.184252753415,0.232731394487,-0.229174941548,0.244973456444,0.00783801730589,0.00264280939764,0.0723184870965,0.00763305394839
{'n_neighbors': 10},0.00320425629616,0.00271901488304,-0.029303235425,0.1538891001,10,18,0.0240031829589,0.146973583533,-0.0886185247213,0.170623663529,0.00597305556937,0.143432164504,-0.0774134851811,0.151483634294,0.088916108518,0.140934100602,0.0157754593038,0.158887498299,-0.0971401446676,0.161703877342,-0.106647440753,0.157074278697,0.00245132343011,0.000454448247977,0.0675494952411,0.00940103619888
{'n_neighbors': 15},0.00321099162102,0.00420033931732,-0.00985884626827,0.118392898322,15,17,0.0759040555921,0.115647909518,-0.0533356466394,0.125938582305,0.00776755125089,0.108748251442,-0.0914729434254,0.126042695524,0.0437798715836,0.108551055155,0.0240568802235,0.121756244958,-0.0435313200659,0.124201590102,-0.0423701374906,0.116256857568,0.00124592044748,0.00200660905149,0.0529768554767,0.00673134894332
{'n_neighbors': 20},0.00424075126648,0.00376486778259,-0.00527018985091,0.0971676588809,20,16,0.0678046158836,0.0874896452712,-0.060783843035,0.108127590214,0.00560688245406,0.0924609561706,-0.0800952170092,0.100450555505,0.0567260783853,0.0879802670533,0.0284097176673,0.100404288537,0.00040070688726,0.0988588423698,-0.0604781453344,0.101569125926,0.00209364748567,0.00118928841676,0.0526890645276,0.00674380694396
{'n_neighbors': 25},0.00239112973213,0.00345206260681,0.00557373173039,0.0836237569641,25,13,0.0751541902823,0.078389605104,-0.0490685861112,0.094906356522,0.0147359880117,0.0782205133338,-0.0627898201343,0.0878854716354,0.0483005196305,0.0722509952815,0.0328819628248,0.0843473082633,0.0290308963207,0.0862228270761,-0.0437848038363,0.086766978497,0.000515522766741,0.000850072692365,0.0476318199231,0.00660065237276
{'n_neighbors': 30},0.00238010287285,0.00357696413994,0.00602949507163,0.0713745363091,30,11,0.0579040661233,0.0663832604029,-0.0617002806496,0.0835686062391,0.0287993820252,0.0656009620834,-0.0597178593981,0.0788953910954,0.0667198355533,0.0570963513426,0.0390084757293,0.070652008208,0.0268386359288,0.0753182888445,-0.0497913532765,0.0734814222566,0.00049158421092,0.00058025139062,0.050555919698,0.00780934022448
{'n_neighbors': 35},0.00248658657074,0.00384163856506,0.00099473679733,0.0608343612708,35,15,0.0585266251575,0.0576358337016,-0.0771822920555,0.0771001890893,0.0238322745225,0.0529444308125,-0.0631491128955,0.0653461272114,0.0566578163524,0.0479822525529,0.046541261316,0.0607303173892,0.0197272644423,0.061524586868,-0.0571932196049,0.0634111525412,0.000828129345504,0.000917155260801,0.0535924441459,0.00813724889031
{'n_neighbors': 40},0.00230658054352,0.00374856591225,0.00748036395828,0.0580767056525,40,8,0.0701490393202,0.0522207097259,-0.0806100028515,0.073968895208,0.0297595923872,0.0491289940907,-0.0468323749249,0.0649079995392,0.0475211574682,0.0501853797583,0.0394487007174,0.0555616646738,0.0418097542329,0.0577434255773,-0.0414760900018,0.0608965766469,0.000386056058718,0.000533057023974,0.051651230177,0.00782818384946
{'n_neighbors': 45},0.00259751081467,0.00432389974594,0.00925173090347,0.0541203981526,45,4,0.0623623727552,0.0496031501552,-0.0713470565118,0.0719959125559,0.0322104404152,0.0479516601396,-0.0431894128071,0.0563464464366,0.0416907362807,0.0480281435492,0.0408073104349,0.0514515160356,0.0410156313139,0.051958599801,-0.0295714711615,0.0556277565477,0.000591883387378,0.0010086914217,0.0463238448564,0.00736658132752
{'n_neighbors': 50},0.002287119627,0.00424826145172,0.00385774854628,0.0488072030997,50,14,0.0418021915414,0.0455021388415,-0.0862362041157,0.0669593133057,0.0325302727541,0.0426473424393,-0.0389244972613,0.0535180916343,0.0387827395672,0.0451648761248,0.0372099967821,0.044541973676,0.0293166376525,0.044686273192,-0.0236292892936,0.0474376155842,0.000375068561817,0.000675818080372,0.0446624617249,0.00750729203774
