params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'max_depth': 1},0.0114958286285,0.000398278236389,-0.0340803862115,0.265480164329,1,1,0.0310515119475,0.27442262025,0.129825943903,0.243906471461,-0.0964693019578,0.288103034091,-0.138078867057,0.264626213548,-0.372700135137,0.280803415179,0.00225086807333,0.259966886272,0.154038240499,0.254076832444,0.0174386500376,0.257935841384,0.000352228129822,3.25380221762e-05,0.158051270656,0.0137389330391
{'max_depth': 3},0.019727408886,0.000460237264633,-0.211355965325,0.865407700626,3,2,-0.0701498500248,0.865314762876,-0.126927206686,0.872699786408,-0.310548222491,0.850288974101,-1.17357759268,0.872235462927,-0.153417482228,0.866386416512,0.0126063605729,0.84789381763,0.0321094422489,0.871783030699,0.0990568286847,0.876659353856,0.000654643853781,3.21734670207e-05,0.382740846548,0.0100207029355
{'max_depth': 5},0.0294398665428,0.000513762235641,-0.29868174814,0.971906783992,5,3,-0.164366124142,0.966011520803,-0.22958502748,0.966587342114,-0.132379077124,0.964318218804,-1.39456855076,0.989422924005,-0.278662216602,0.968148550721,-0.0566550300649,0.96356930695,-0.228092180127,0.967222043333,0.0948542211867,0.989974365204,0.0012767130739,3.06238983878e-05,0.428700167131,0.0103650506463
