,testR2,time,trainR2
16,-1.20128163978,0.00876092910767,0.99997057878
32,0.0953028053857,0.00990295410156,0.999990331799
64,-0.6154345788,0.0105440616608,0.995759379591
128,-0.0949579493733,0.0131449699402,0.970880603756
256,-0.381199746527,0.0194501876831,0.82625649173
512,-0.0749234512489,0.0268888473511,0.657053255448
1024,-0.194784212259,0.042515039444,0.485668208815
1598,0.00460115510102,0.0596039295197,0.320931918308
2048,-0.653135314216,0.0749878883362,0.327185386597
