params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_shuffle,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
{'shuffle': True},0.00523355603218,0.000970095396042,-1.91191659369e+31,-1.9389920618e+31,True,1,-1.19645455729e+31,-1.17205913682e+31,-4.2991018943e+31,-3.34669906847e+31,-3.34068021677e+31,-4.7007851475e+31,-1.87350304673e+31,-1.29631788037e+31,-1.07435122312e+31,-1.67668696363e+31,-8.6329858939e+30,-9.83570807248e+30,-2.13690188147e+31,-2.00570140744e+31,-5.11041340457e+30,-3.3011608291e+30,0.000569593979098,0.000178728219688,1.22818799457e+31,1.3315837408e+31
{'shuffle': False},0.0089168548584,0.00176405906677,-3.29298274167e+31,-2.96868811008e+31,False,2,-7.00275128388e+31,-6.86153425623e+31,-2.97807353156e+31,-2.51680862792e+31,-7.58150474471e+30,-1.08302428261e+31,-4.89675380244e+31,-3.4799218347e+31,-1.23168643723e+31,-1.90236076159e+31,-1.17251704518e+31,-1.14274286153e+31,-5.15339539829e+31,-4.78046259087e+31,-3.15053396034e+31,-1.98264966523e+31,0.00471474955261,0.00103408686913,2.09421079462e+31,1.86753389609e+31
